;Descricao;Preco
214;Processador Intel Core I3-7320 Pull Oem Socket LGA 1151 2 Core 4 Threads Cache 4mb - Sem Cooler;R$ 295,13
215;Processador Intel Core I7-4770s Pull Oem Socket LGA 1150 4 Core 8 Threads Cache 8mb - Sem Cooler;R$ 582,53
216;Processador Intel i5-10400 Comet Lake;R$ 1.124,99
217;Processador Intel Sk1200 Core I7 10700 2.90ghz (max 4.80 Ghz) Oem Sem Cooler;R$ 2.038,50
218;Processador Intel Core I7 860 2.88ghz;R$ 193,00
219;Processador Note Intel Pentium T4300 Dual Core 2.0ghz Slgjm;R$ 22,60
220;Processador Intel Core I3-6100 Cache 3mb 3.70ghz 1151 Oem;R$ 177,97
221;Processador Intel Core I5-6600t Src20 2.70ghz LGA 1151.;R$ 582,04
222;Processador Intel I3-10105, 3.7ghz, 6MB Cache, Fclga1200, Box;R$ 839,90
223;Processador Intel Core I3-10100, 4.30GHz, Cache 6MB, LGA 1200;R$ 859,75
224;Processador Intel Core I3 4xxx 3.4ghz 1150;R$ 93,84
225;Processador Intel Core I5-3470 LGA 1155 3.2ghz 326b770;R$ 149,90
226;Processador Intel Xeon Gold 5317 - LGA 4189 3gen - 12 Cores - 3.0ghz - 18mb - Tdp: 150w;R$ 15.232,90
227;Processador Intel Xeon Gold 5315y - LGA 4189 3gen - 08 Cores 3.60ghz - 12mb - Tdp: 140w;R$ 14.422,02
228;Processador Intel Core I3-2130 Cache 3mb 3.40ghz 1155 Oem;R$ 147,97
229;Intel® Core™ I7 870 LGA 1156 - 2.93ghz - Cache 8mb - Tray Sem Cooler;R$ 909,99
230;Intel® Celeron® G1610 - Lga 1155 - 2.60ghz - Cache 2mb - Tray Sem Cooler;R$ 390,99
231;Processador Intel Core I5 3340 - Lga 1155 - 3.30ghz - Cache 6mb - Tray Sem Cooler - Oem;R$ 1.039,99
232;Processador Intel Xeon Gold 5418y - LGA 4677 4gen 24 Cores 2.00ghz - 45mb - Tdp: 185w;R$ 27.688,30
233;Processador Intel I3 2120 3.3ghtz, 3MB, LGA 1155 - OEM;R$ 112,10
234;Processador Intel Xeon Silver 4309y - LGA 4189 3gen - 08 Cores - 2.80ghz - 12mb - Tdp: 105w;R$ 6.269,75
235;Processador Intel Core I3-530 2.93ghz Cache 3mb 1156 Oem.;R$ 147,97
236;Processador Intel Ultra 5 245k Arrow Lake 4.2ghz 5.2ghz Turbo 14cores 14threads LGA 1851 Video Integrado;R$ 2.393,52
237;Processador Intel I5-14500 LGA 1700 - Bx8071514500;R$ 2.721,96
238;Processador Intel Core I3-10100f, 4.30 Ghz, Cache 6MB, Threads 8, QuadCore, LGA 1200;R$ 754,30
239;Processador Intel Core I3 21xx, LGA 1155 - Oem;R$ 73,44
240;Kit com Processador Intel Core I5 10400f E Pasta Térmica Cooler Master;R$ 877,67
241;Processador Intel Core I3-2120, 3mb Cache, 3.30ghz, LGA 1155, 2ª Geração.;R$ 119,99
242;Processador Intel Celeron G3930, LGA 1151;R$ 598,90
243;Processador Intel Core I3-10100 10 Geração, 3.6Ghz, Max Turbo 4.3Ghz, Cache 6MB, LGA 1200 - Bx8070110100;R$ 1.263,90
244;Processador I3-7100 3.90ghz, 7º Geração;R$ 1.472,40
245;Processador Intel Core I5-2320 3.00ghz Cache 6mb LGA 1155 Oem;R$ 157,97
246;Processador Intel Core I3-3220 3.30 Ghz 3 Mb Cache 1155 - Importado;R$ 238,50
247;Processador Intel Core i3 10100F Comet Lake;R$ 611,99
248;Processador Intel Core I5-2400 3.10ghz Cache 6mb LGA 1155 Oem;R$ 177,97
249;Processador Intel Xeon Silver 4310 - LGA 4189 3gen - 12 Cores - 2.10ghz - 18mb - Tdp: 120w;R$ 7.523,94
250;Processador Intel Core I3-330m 3m 2.13ghz Slbmd;R$ 59,90
251;Processador Intel Core I3-6100t Sr2he 3.20ghz LGA 1151;R$ 258,99
252;Processador Intel Sk1155 Core I7 3770 3.90ghz Oem Sem Cooler;R$ 355,50
253;Processador Intel Core I5-2310 Cache 6m 2.90ghz LGA 1155 Oem;R$ 157,97
254;Processador Intel Core I3 3xxx 3.3ghz Cache 3mb LGA 1155 Oem;R$ 73,44
255;Processador I3-10105f 3.7ghz 6mb LGA 1200 Bx8070110105f;R$ 616,00
256;Processador Gamer Intel Celeron G3900, 2.8GHz, 3MB, 2 Núcleos, 4 Threads, Com Gráfica Integrada - Cm8066201928610;R$ 637,57
257;Processador Intel Core I7 3770 3.4ghz 1155 Oem;R$ 446,76
258;Processador Intel Core I7-10700kf, 2.9ghz, LGA 1200;R$ 2.386,80
259;Processador Intel Core I5-6500 3.2ghz LGA 1151 Oem;R$ 378,22
260;Processador Intel 1700 Core I3 12100 3.3GHZ/12MB S/cooler Tray 12g Cm8071504651012;R$ 890,80
261;Processador Intel Core I3-2120t 2,6ghz 3mb Oem S/ Cooler;R$ 38,99
262;Processador Gamer Intel Core I5-4590, 4 Núcleos E 3.7ghz , Frequência Com Gráfica Integrada - Bx80646i54590;R$ 217,48
263;Processador Intel Core I3-14100 LGA 1700 3.5ghz 12mb Imp Bx8071514100;R$ 1.069,90
264;Processador Intel i7-11700K Rocket Lake 3.60GHz;R$ 2.600,99
265;Processador Intel i7-11700KF 3.6GHz;R$ 2.537,99
266;Processador Intel Xeon E2124, 3.30GHz, Cache 8MB, Quad Core, LGA 1151, Sem Gráfico - BX80684E2124;R$ 2.106,99
267;Processador Intel I5-10600K Marvel's Avengers Collector's Edition Packaging, Cache 12MB, 4.10GHz (4.80GHz) - BX8070110600KA;R$ 1.664,99
268;Processador Intel I7 2600, 3.8GHz, Cache 8MB, LGA 1155, OEM;R$ 399,90
269;Processador Intel Core I3 4130, 3.4GHz, Cache 3MB, 1150, OEM;R$ 74,90
270;Processador Intel Xeon, 2.1GHz, 46W4363 - E5-2620V2;R$ 3.160,23
271;Processador Intel Celeron 430, 1.80GHz, 512K;R$ 148,34
272;Processador Intel Core I7 12700F, 2.1GHz - Bx8071512700fI;R$ 3.064,59
273;Processador Intel Core i5-11600KF 11ª Geração, 3.9 GHz (4.9GHz Turbo), Cache 12MB, Hexa Core, 12 Threads, LGA1200 - BX8070811600KF;R$ ----
274;Processador Intel Core i9-10900X Cascade Lake, 3.7GHz (4.7GHz Max Turbo), Cache 19.25MB, 10 Núcleos, 20 Threads, LGA 2066 - BX8069510900X;R$ ----
275;Processador Intel Pentium G4560 Kaby Lake, 3.5Ghz, Cache 3MB, Dual Core, 4 Threads, LGA 1151 - BX80677G4560;R$ ----
276;Processador Intel Core i5-7640X Kaby Lake, 4GHz (4.2GHz Max Turbo), Cache 6MB, LGA 2066 - BX80677I57640X;R$ ----
277;Processador Intel Core i7-9700F Coffee Lake, 3.0GHz (4.7GHz Max Turbo), Cache 12MB, LGA 1151 - BX80684i79700F;R$ ----
